,Entity,Year,Population,indu_rate
294,United Kingdom,2045.0,79121247.9215649,12.309192877854624
295,United Kingdom,2046.0,79656174.91782722,12.126331621581759
296,United Kingdom,2047.0,80258608.45824656,11.942139533947813
297,United Kingdom,2048.0,80949102.03854118,11.756363109221855
298,United Kingdom,2049.0,80975098.53561129,11.45546807814316
299,United Kingdom,2050.0,81510025.53205156,11.272606821868468
300,United States,1991.0,251561917.21687868,25.631352496314996
301,United States,1992.0,255173852.22687986,25.270056292891045
302,United States,1993.0,258778387.45855567,24.81801810577879
303,United States,1994.0,262276239.26028594,24.497371587637854
304,United States,1995.0,265655981.87666667,24.156451527113635
305,United States,1996.0,268987809.7057623,23.795155323961175
306,United States,1997.0,272395414.55799943,23.343076232368023
307,United States,1998.0,275838348.1752034,23.00041005330892
308,United States,1999.0,279178311.79476523,22.637220105695146
309,United States,2000.0,282398687.7068897,22.253601799256447
310,United States,2001.0,285470440.82444656,21.779180352452148
311,United States,2002.0,288350311.26295865,21.436211730809973
312,United States,2003.0,291106568.93451786,21.072969569662042
313,United States,2004.0,293951311.16366017,20.68957274407229
314,United States,2005.0,296842597.60726833,20.215521275250573
315,United States,2006.0,299756480.7723702,19.87292162083508
316,United States,2007.0,302740130.1516938,19.510048423899995
317,United States,2008.0,305695019.3501686,19.126799084548633
318,United States,2009.0,308508654.44427216,18.65274761588293
319,United States,2010.0,311189540.98451215,18.31063359980876
320,United States,2011.0,313976651.9041386,17.949106062976785
321,United States,2012.0,316635383.78516823,17.81670377930069
322,United States,2013.0,319302983.67502594,17.59418661857412
323,United States,2014.0,321986623.20980215,17.502434020031856
324,United States,2015.0,324552153.55872685,17.390407878958257
325,United States,2016.0,327210885.4413716,17.258005595281716
326,United States,2017.0,329878485.33156574,17.03548843455468
327,United States,2018.0,333651194.57594836,16.931793459952626
328,United States,2019.0,337851981.497167,16.737910119221006
329,United States,2020.0,342983453.9419019,16.523503866413947
330,United States,2021.0,340749324.8876823,16.546452604252913
331,United States,2022.0,344226696.2321744,16.37309527593378
332,United States,2023.0,348427483.1521648,16.179211935202577
333,United States,2024.0,353558955.5963196,15.96480568239516
334,United States,2025.0,351324826.54400593,15.987754420234152
335,United States,2026.0,354802197.88723224,15.814397091915053
336,United States,2027.0,359002984.8089727,15.620513751183429
337,United States,2028.0,364134457.2536442,15.406107498376358
338,United States,2029.0,361900328.1993158,15.42905623621546
339,United States,2030.0,365377699.5426702,15.25569890789593
340,United States,2031.0,369578486.46243215,15.06181556716543
341,United States,2032.0,374709958.907238,14.84740931435707
342,United States,2033.0,372475829.8533709,14.870358052196915
343,United States,2034.0,375953201.1989691,14.697000723877249
344,United States,2035.0,380153988.11997795,14.503117383144891
345,United States,2036.0,385285460.5626197,14.288711130338664
346,United States,2037.0,383051331.5115819,14.311659868177589
347,United States,2038.0,386528702.8552267,14.138302539858698
348,United States,2039.0,390729489.77622306,13.944419199126543
349,United States,2040.0,395860962.2207572,13.73001294632007
350,United States,2041.0,393626833.16643757,13.752961684159082
351,United States,2042.0,397104204.5087712,13.57960435583998
352,United States,2043.0,401304991.4301386,13.385721015108745
353,United States,2044.0,406436463.8749394,13.171314762300359
354,United States,2045.0,404202334.8205569,13.194263500140396
355,United States,2046.0,407679706.1641543,13.02090617182143
356,United States,2047.0,411880493.0864222,12.827022831089755
357,United States,2048.0,417011965.530321,12.612616578281951
358,United States,2049.0,414777836.4764291,12.63556531612175
359,United States,2050.0,418255207.82182133,12.4622079878024
360,EU,1991.0,1803954236.808571,38.24539875430504
361,EU,1992.0,1828424119.6555033,37.66896085651256
362,EU,1993.0,1852965797.0620048,36.69995604868133
363,EU,1994.0,1877410012.7840736,36.07391652685909
364,EU,1995.0,1901408747.8708313,35.47309233613235
365,EU,1996.0,1925448205.897519,34.89795931196366
366,EU,1997.0,1949561163.4029565,34.317427206541694
367,EU,1998.0,1973655213.3118393,34.07921175985696
368,EU,1999.0,1997389798.3865082,33.86607402405537
369,EU,2000.0,2021590402.367807,33.67747145391034
370,EU,2001.0,2045870264.196272,33.09736919784337
371,EU,2002.0,2070162227.3746524,32.85916333788293
372,EU,2003.0,2094231381.9723673,32.64603256447105
373,EU,2004.0,2118428248.124826,32.457434643041246
374,EU,2005.0,2142058890.918347,31.877332369593628
375,EU,2006.0,2165273688.6531663,31.638595904105784
376,EU,2007.0,2188142371.5887833,31.280152015418103
377,EU,2008.0,2210993027.478942,30.94548923438569
378,EU,2009.0,2233062223.3784456,30.21892179589867
379,EU,2010.0,2254982358.792314,29.83465092253362
380,EU,2011.0,2277673719.4550796,29.475679378129442
381,EU,2012.0,2297947119.851907,29.141586506249624
382,EU,2013.0,2318283701.7070394,28.415590674885017
383,EU,2014.0,2338534311.1498065,28.03188985496143
384,EU,2015.0,2358339359.553981,27.673264123868123
385,EU,2016.0,2378612759.9577913,27.33917125198531
386,EU,2017.0,2398949341.8143826,26.613175420619974
387,EU,2018.0,2424209723.4874296,26.74213230561221
388,EU,2019.0,2451344473.682527,26.47782268426753
389,EU,2020.0,2482565908.5775065,26.235321577537576
390,EU,2021.0,2480932363.1374226,25.226596938199833
391,EU,2022.0,2504875363.5934095,24.93971705134721
392,EU,2023.0,2532010113.783201,24.675407430005595
393,EU,2024.0,2563231548.675677,24.43290632327883
394,EU,2025.0,2561598003.243823,23.424181683933558
395,EU,2026.0,2585541003.6943455,23.137301797086067
396,EU,2027.0,2612675753.891692,22.87299217573951
397,EU,2028.0,2643897188.7863975,22.630491069009814
398,EU,2029.0,2642263643.345844,21.621766429671382
399,EU,2030.0,2666206643.7969236,21.334886542825117
400,EU,2031.0,2693341393.985725,21.070576921481702
401,EU,2032.0,2724562828.8810167,20.828075814755337
402,EU,2033.0,2722929283.442447,19.81935117541368
403,EU,2034.0,2746872283.903217,19.532471288559158
404,EU,2035.0,2774007034.09741,19.268161667217377
405,EU,2036.0,2805228468.9833503,19.02566056049214
406,EU,2037.0,2803594923.557005,18.016935921142846
407,EU,2038.0,2827537924.0093327,17.730056034292826
408,EU,2039.0,2854672674.2034698,17.465746412950786
409,EU,2040.0,2885894109.097576,17.22324530621969
410,EU,2041.0,2884260563.6570644,16.21452066688145
411,EU,2042.0,2908203564.103731,15.927640780037322
412,EU,2043.0,2935338314.2994685,15.663331158690681
413,EU,2044.0,2966559749.1947374,15.420830051964224
414,EU,2045.0,2964926203.7539454,14.412105412624427
415,EU,2046.0,2988869204.2060685,14.125225525774216
416,EU,2047.0,3016003954.405698,13.860915904425976
417,EU,2048.0,3047225389.297071,13.618414797701046
418,EU,2049.0,3045591843.8583956,12.60969015835952
419,EU,2050.0,3069534844.3182735,12.32281027150458
